Sentence,Original_Entity,Predicted_Entity
"In an interview published Sunday in the Washington Post , Abdul Aziz Hakim says U.S. troops are hampering efforts by Iraq 's fledgling security forces to hunt down insurgents .","['Iraq', (169877, 169877), 'LOC']","['Iraq', 117, 'GPE']"
North Ossetia is a neighboring republic dominated by Orthodox Christians .,"['North Ossetia', (103926, 103927), 'LOC']","['North Ossetia', 0, 'GPE']"
North Ossetia is a neighboring republic dominated by Orthodox Christians .,"['Orthodox Christians', (103934, 103935), 'LOC']","['Orthodox Christians', 53, 'NORP']"
"Early this year , England pleaded guilty to abuse charges as part of a plea bargain , but a judge later canceled the deal and ordered the case to trial .","['England', (36714, 36714), 'PERSON']","['England', 18, 'GPE']"
"The French leader , who has been in office since 1995 , has not announced whether he plans to seek re-election .","['French', (35978, 35978), 'GPE']","['French', 4, 'NORP']"
The wounded man was taken to an Israeli hospital for treatment .,"['Israeli', (186155, 186155), 'GPE']","['Israeli', 32, 'NORP']"
He said the delegation will be led by U.S. Assistant Secretary of State for African affairs Jendayi Frazer .,"['U.S.', (87819, 87819), 'LOC']","['U.S.', 38, 'GPE']"
He said the delegation will be led by U.S. Assistant Secretary of State for African affairs Jendayi Frazer .,"['African', (87825, 87825), 'GPE']","['African', 76, 'NORP']"
A tropical storm watch is posted from west of Lazaro Cardenas to Cabo Corrientes .,"['Lazaro Cardenas', (161601, 161602), 'LOC']","['Lazaro Cardenas', 46, 'GPE']"
A tropical storm watch is posted from west of Lazaro Cardenas to Cabo Corrientes .,"['Cabo Corrientes', (161604, 161605), 'LOC']","['Cabo Corrientes', 65, 'GPE']"
It marks the end of two centuries of Russia 's military presence in Georgia .,"['Russia', (134878, 134878), 'LOC']","['Russia', 37, 'GPE']"
It marks the end of two centuries of Russia 's military presence in Georgia .,"['Georgia', (134883, 134883), 'LOC']","['Georgia', 68, 'GPE']"
"The large-scale military operation began early Saturday , concentrated on the farming community of Marjah in southern Helmand province .","['Marjah', (107927, 107927), 'LOC']","['Marjah', 99, 'GPE']"
The Palestinian militant group Islamic Jihad says it has ordered its gunmen in the Gaza Strip to stop firing rockets at Israeli targets while Israel prepares for and completes its Gaza evacuation .,"['Palestinian', (110394, 110394), 'GPE']","['Palestinian', 4, 'NORP']"
The Palestinian militant group Islamic Jihad says it has ordered its gunmen in the Gaza Strip to stop firing rockets at Israeli targets while Israel prepares for and completes its Gaza evacuation .,"['Islamic Jihad', (110397, 110398), 'PERSON']","['Islamic Jihad', 31, 'ORG']"
The Palestinian militant group Islamic Jihad says it has ordered its gunmen in the Gaza Strip to stop firing rockets at Israeli targets while Israel prepares for and completes its Gaza evacuation .,"['Israeli', (110414, 110414), 'GPE']","['Israeli', 120, 'NORP']"
The Palestinian militant group Islamic Jihad says it has ordered its gunmen in the Gaza Strip to stop firing rockets at Israeli targets while Israel prepares for and completes its Gaza evacuation .,"['Israel', (110417, 110417), 'LOC']","['Israel', 142, 'GPE']"
The Palestinian militant group Islamic Jihad says it has ordered its gunmen in the Gaza Strip to stop firing rockets at Israeli targets while Israel prepares for and completes its Gaza evacuation .,"['Gaza', (110423, 110423), 'LOC']","['Gaza', 180, 'GPE']"
"The February 5 , 2006 cable says that Syrian officials seem "" to have miscalculated and lost control "" of the protests .","['Syrian', (180484, 180484), 'GPE']","['Syrian', 38, 'NORP']"
"He praised world leaders for coming to Washington to seek a solution to the global financial crisis , saying the matter requires a "" coordinated global response . ""","['Washington', (165358, 165358), 'LOC']","['Washington', 39, 'GPE']"
U.S. officials say Cheney 's plane made a scheduled stop Sunday at Singapore 's Paya Lebar Air Base to refuel .,"['U.S.', (35746, 35746), 'LOC']","['U.S.', 0, 'GPE']"
"In a statement released Tuesday , officials say they also found four inter-linked tunnels and bomb-proof bunkers during a separate search operation near Swat 's Biakand area .","['Swat', (105006, 105006), 'ORG']","['Swat', 153, 'GPE']"
"In a statement released Tuesday , officials say they also found four inter-linked tunnels and bomb-proof bunkers during a separate search operation near Swat 's Biakand area .","['Biakand', (105008, 105008), 'ORG']","['Biakand', 161, 'LOC']"
"The group is believed to be behind Saturday 's bombings , as well as the 2002 Bali bombings which killed 202 people , including 88 Australians .","['Bali', (177299, 177299), 'LOC']","['Bali', 78, 'GPE']"
"The group is believed to be behind Saturday 's bombings , as well as the 2002 Bali bombings which killed 202 people , including 88 Australians .","['Australians', (177308, 177308), 'GPE']","['Australians', 131, 'NORP']"
Thailand 's military government has selected the head of the country 's Constitution Drafting Council in what is seen as a first step toward restoring democracy after last year 's military coup .,"['Thailand', (152500, 152500), 'LOC']","['Thailand', 0, 'GPE']"
Kenya 's justice minister says the government will start freezing the assets of those suspected of profiting from corruption .,"['Kenya', (169341, 169341), 'PERSON']","['Kenya', 0, 'GPE']"
A statement from Mr. Karzai 's office said bin Laden 's remarks are contrary to Islamic culture and human values .,"['Karzai', (77976, 77976), 'LOC']","['Karzai', 21, 'PERSON']"
"Russian authorities deny Georgian charges that they deliberately cut supplies , and insist the pipelines were sabotaged .","['Russian', (8549, 8549), 'GPE']","['Russian', 0, 'NORP']"
"Russian authorities deny Georgian charges that they deliberately cut supplies , and insist the pipelines were sabotaged .","['Georgian', (8552, 8552), 'GPE']","['Georgian', 25, 'NORP']"
"In May , Israeli security forces killed two Palestinian gunmen who opened fire in an Arab neighborhood of East Jerusalem .","['Israeli', (39904, 39904), 'GPE']","['Israeli', 9, 'NORP']"
"In May , Israeli security forces killed two Palestinian gunmen who opened fire in an Arab neighborhood of East Jerusalem .","['Palestinian', (39909, 39909), 'GPE']","['Palestinian', 44, 'NORP']"
"In May , Israeli security forces killed two Palestinian gunmen who opened fire in an Arab neighborhood of East Jerusalem .","['Arab', (39916, 39916), 'GPE']","['Arab', 85, 'NORP']"
"In May , Israeli security forces killed two Palestinian gunmen who opened fire in an Arab neighborhood of East Jerusalem .","['East Jerusalem', (39919, 39920), 'LOC']","['East Jerusalem', 106, 'GPE']"
"Erik Guay of Canada finished third , 0.2 behind Buechel ( 1.28.19 ) .","['Canada', (190667, 190667), 'LOC']","['Canada', 13, 'GPE']"
Iran has ignored U.N. resolutions demanding that it stop uranium enrichment .,"['Iran', (108110, 108110), 'LOC']","['Iran', 0, 'GPE']"
"A Human Rights Watch spokesman said Hamas rocket attacks that targeted Israeli citizens were "" unlawful and unjustifiable "" .","['Israeli', (121471, 121471), 'GPE']","['Israeli', 71, 'NORP']"
The Iraqi election commission says the main Shi'ite coalition has maintained a strong showing in Sunday 's landmark elections .,"['Iraqi', (85101, 85101), 'GPE']","['Iraqi', 4, 'NORP']"
"In April 2006 , Snoop Dogg , whose real name is Calvin Broadus , and five other men were arrested in a brawl at London 's Heathrow Airport .","['London', (193648, 193648), 'LOC']","['London', 112, 'GPE']"
"In April 2006 , Snoop Dogg , whose real name is Calvin Broadus , and five other men were arrested in a brawl at London 's Heathrow Airport .","['Heathrow Airport', (193650, 193651), 'WORK_OF_ART']","['Heathrow Airport', 122, 'FAC']"
A commander of Dutch troops in southern Afghanistan says forces from the Netherlands have killed dozens of suspected Taleban fighters in recent months .,"['Dutch', (49617, 49617), 'GPE']","['Dutch', 15, 'NORP']"
The Argentine newspaper La Nacion reported Thursday renowned brain surgeon Hilda Molina and her 84-year-old mother had entered the embassy to request political asylum .,"['Argentine', (75234, 75234), 'GPE']","['Argentine', 4, 'NORP']"
Top Palestinian officials have arrived in Lebanon for the first visit by Palestinian leadership in more than two decades .,"['Palestinian', (108831, 108831), 'GPE']","['Palestinian', 4, 'NORP']"
Top Palestinian officials have arrived in Lebanon for the first visit by Palestinian leadership in more than two decades .,"['Lebanon', (108836, 108836), 'LOC']","['Lebanon', 42, 'GPE']"
Top Palestinian officials have arrived in Lebanon for the first visit by Palestinian leadership in more than two decades .,"['Palestinian', (108842, 108842), 'GPE']","['Palestinian', 4, 'NORP']"
They said they arrested him Friday in the southwestern city of Quetta in connection with attacks on Shi'ite Muslims that have claimed more than 100 lives .,"['Quetta', (162049, 162049), 'LOC']","['Quetta', 63, 'GPE']"
"The United States will decide in the coming weeks whether to take the North Korea nuclear issue to the United Nations , where sanctions could be imposed .","['North Korea', (162519, 162520), 'LOC']","['North Korea', 70, 'GPE']"
Pakistan has released 17 former Guantanamo Bay detainees who had been freed from U.S. custody nine months ago and detained for further investigation on their return to Pakistan .,"['Pakistan', (106730, 106730), 'LOC']","['Pakistan', 0, 'GPE']"
Pakistan has released 17 former Guantanamo Bay detainees who had been freed from U.S. custody nine months ago and detained for further investigation on their return to Pakistan .,"['Guantanamo Bay', (106735, 106736), 'LOC']","['Guantanamo Bay', 32, 'FAC']"
Pakistan has released 17 former Guantanamo Bay detainees who had been freed from U.S. custody nine months ago and detained for further investigation on their return to Pakistan .,"['U.S.', (106743, 106743), 'LOC']","['U.S.', 81, 'GPE']"
Pakistan has released 17 former Guantanamo Bay detainees who had been freed from U.S. custody nine months ago and detained for further investigation on their return to Pakistan .,"['Pakistan', (106757, 106757), 'LOC']","['Pakistan', 0, 'GPE']"
Mr. Putin 's talks in Egypt made him the first Russian leader to visit Cairo in four decades .,"['Egypt', (44951, 44951), 'LOC']","['Egypt', 22, 'GPE']"
Mr. Putin 's talks in Egypt made him the first Russian leader to visit Cairo in four decades .,"['Russian', (44956, 44956), 'GPE']","['Russian', 47, 'NORP']"
Mr. Putin 's talks in Egypt made him the first Russian leader to visit Cairo in four decades .,"['Cairo', (44960, 44960), 'LOC']","['Cairo', 71, 'GPE']"
Hooper said that many of the home-grown terrorists are Canadian citizens .,"['Canadian', (64302, 64302), 'GPE']","['Canadian', 55, 'NORP']"
They called on ethnic Shan people in Burma and overseas to stand united and fight the military .,"['Burma', (178060, 178060), 'LOC']","['Burma', 37, 'GPE']"
Heavy flooding in the Mexican Gulf Coast state of Tabasco also forced thousands of people from their homes .,"['Mexican', (161730, 161730), 'GPE']","['Mexican', 22, 'NORP']"
"The Israeli plan appears to clash with the U.S.-backed "" road map "" peace blueprint , which calls for a halt to settlement expansion on all Palestinian land captured by Israel in the 1967 war .","['Israeli', (76744, 76744), 'GPE']","['Israeli', 4, 'NORP']"
"The Israeli plan appears to clash with the U.S.-backed "" road map "" peace blueprint , which calls for a halt to settlement expansion on all Palestinian land captured by Israel in the 1967 war .","['Palestinian', (76769, 76769), 'GPE']","['Palestinian', 140, 'NORP']"
"The Israeli plan appears to clash with the U.S.-backed "" road map "" peace blueprint , which calls for a halt to settlement expansion on all Palestinian land captured by Israel in the 1967 war .","['Israel', (76773, 76773), 'LOC']","['Israel', 169, 'GPE']"
"Presidents of member nations Argentina , Brazil , Paraguay and Uruguay are to sign a document Tuesday extending voting rights and lower tariffs to Venezuela .","['Argentina', (17691, 17691), 'ORG']","['Argentina', 29, 'GPE']"
"Presidents of member nations Argentina , Brazil , Paraguay and Uruguay are to sign a document Tuesday extending voting rights and lower tariffs to Venezuela .","['Brazil', (17693, 17693), 'ORG']","['Brazil', 41, 'GPE']"
"Presidents of member nations Argentina , Brazil , Paraguay and Uruguay are to sign a document Tuesday extending voting rights and lower tariffs to Venezuela .","['Paraguay', (17695, 17695), 'ORG']","['Paraguay', 50, 'GPE']"
"Presidents of member nations Argentina , Brazil , Paraguay and Uruguay are to sign a document Tuesday extending voting rights and lower tariffs to Venezuela .","['Uruguay', (17697, 17697), 'ORG']","['Uruguay', 63, 'GPE']"
"Presidents of member nations Argentina , Brazil , Paraguay and Uruguay are to sign a document Tuesday extending voting rights and lower tariffs to Venezuela .","['Venezuela', (17711, 17711), 'ORG']","['Venezuela', 147, 'GPE']"
Terje Roed-Larsen made the appeal in a meeting with the Israeli parliament 's Defense and Foreign Affairs Committee Tuesday .,"['Israeli', (35125, 35125), 'GPE']","['Israeli', 56, 'NORP']"
Britain agreed to extradite Boudhiba to Spain after he was indicted by a Spanish judge .,"['Britain', (135441, 135441), 'LOC']","['Britain', 0, 'GPE']"
Britain agreed to extradite Boudhiba to Spain after he was indicted by a Spanish judge .,"['Spain', (135447, 135447), 'LOC']","['Spain', 40, 'GPE']"
Britain agreed to extradite Boudhiba to Spain after he was indicted by a Spanish judge .,"['Spanish', (135454, 135454), 'GPE']","['Spanish', 73, 'NORP']"
He spoke Thursday as Iraq was in a relative period of calm during the Muslim holiday of Eid Al-Adha .,"['Iraq', (72981, 72981), 'LOC']","['Iraq', 21, 'GPE']"
Iran denies the charge .,"['Iran', (27724, 27724), 'LOC']","['Iran', 0, 'GPE']"
"A former minister in Iraq 's interim government says he is in talks with two Sunni insurgent groups , who are prepared to discuss ending their armed resistance to the U.S.-backed Iraqi government .","['Iraq', (150009, 150009), 'LOC']","['Iraq', 21, 'GPE']"
"A former minister in Iraq 's interim government says he is in talks with two Sunni insurgent groups , who are prepared to discuss ending their armed resistance to the U.S.-backed Iraqi government .","['Iraqi', (150036, 150036), 'GPE']","['Iraqi', 179, 'NORP']"
Iraqi police say at least three civilians were killed and nine wounded Saturday when a roadside bomb struck a vehicle south of Baghdad .,"['Iraqi', (191997, 191997), 'GPE']","['Iraqi', 0, 'NORP']"
Iraqi police say at least three civilians were killed and nine wounded Saturday when a roadside bomb struck a vehicle south of Baghdad .,"['Baghdad', (192019, 192019), 'LOC']","['Baghdad', 127, 'GPE']"
"Elsewhere , authorities say a car bomb exploded Monday in the center of Samarra , wounding at least 10 people .","['Samarra', (84356, 84356), 'LOC']","['Samarra', 72, 'GPE']"
Lebanon is home to thousands of Palestinian refugees .,"['Lebanon', (79123, 79123), 'LOC']","['Lebanon', 0, 'GPE']"
Lebanon is home to thousands of Palestinian refugees .,"['Palestinian', (79129, 79129), 'GPE']","['Palestinian', 32, 'NORP']"
The NATO-led force says Afghan police captured more than 80 suspected Taleban fighters and a further 180 were seen fleeing the area .,"['Afghan', (145315, 145315), 'GPE']","['Afghan', 24, 'NORP']"
The NATO-led force says Afghan police captured more than 80 suspected Taleban fighters and a further 180 were seen fleeing the area .,"['Taleban', (145322, 145322), 'ORG']","['Taleban', 70, 'PERSON']"
"Fiat is involved in plans to buy another beleaguered U.S. car company , Chrysler , which entered into bankruptcy protection last week .","['U.S.', (118583, 118583), 'LOC']","['U.S.', 53, 'GPE']"
"Fiat is involved in plans to buy another beleaguered U.S. car company , Chrysler , which entered into bankruptcy protection last week .","['Chrysler', (118587, 118587), 'PERSON']","['Chrysler', 72, 'ORG']"
"Indonesia 's health ministry says a 31-year-old woman has died of bird flu , raising the national death toll from the disease to 102 .","['Indonesia', (131393, 131393), 'LOC']","['Indonesia', 0, 'GPE']"
Tony Blair Russian officials say British Prime Minister Tony Blair will not attend the upcoming World War II commemorations in Moscow .,"['Russian', (130087, 130087), 'GPE']","['Russian', 11, 'NORP']"
Tony Blair Russian officials say British Prime Minister Tony Blair will not attend the upcoming World War II commemorations in Moscow .,"['British', (130090, 130090), 'GPE']","['British', 33, 'NORP']"
Tony Blair Russian officials say British Prime Minister Tony Blair will not attend the upcoming World War II commemorations in Moscow .,"['Moscow', (130105, 130105), 'LOC']","['Moscow', 127, 'GPE']"
"An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .","['German', (326, 326), 'GPE']","['German', 21, 'NORP']"
"An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .","['Delta State', (346, 347), 'LOC']","['Delta State', 137, 'GPE']"
"An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .","['Bayelsa State', (349, 350), 'LOC']","['Bayelsa State', 152, 'GPE']"
"Zawahiri did not mention Zarqawi 's successor as leader of al-Qaida in Iraq , Abu Hamza al-Muhajer .","['Zarqawi', (59133, 59133), 'LOC']","['Zarqawi', 25, 'PERSON']"
"Zawahiri did not mention Zarqawi 's successor as leader of al-Qaida in Iraq , Abu Hamza al-Muhajer .","['Abu Hamza al-Muhajer', (59143, 59145), 'ORG']","['Abu Hamza al-Muhajer', 78, 'PERSON']"
"Unlike the rest of Central America , Costa Rica is not highly dependent on remittances as they only represent about 2 % of GDP .","['Costa Rica', (154031, 154032), 'PERSON']","['Costa Rica', 37, 'GPE']"
Italy says it will campaign at the United Nations for a global ban on the death penalty after images of the hanging of Iraq 's former dictator shocked people worldwide .,"['Italy', (190463, 190463), 'LOC']","['Italy', 0, 'GPE']"
Italy says it will campaign at the United Nations for a global ban on the death penalty after images of the hanging of Iraq 's former dictator shocked people worldwide .,"['Iraq', (190486, 190486), 'LOC']","['Iraq', 119, 'GPE']"
"Asked at a press conference whether he felt the tremor , U.S. President Barack Obama laughed and said he did not .","['U.S.', (193223, 193223), 'ORG']","['U.S.', 57, 'GPE']"
"However , the Army says no action or lack of action by General Karpinski contributed specifically to the abuse of detainees at Abu Ghraib .","['Abu Ghraib', (105892, 105893), 'LOC']","['Abu Ghraib', 127, 'FAC']"
"Hamas leader and Palestinian Prime Minister-designate Ismail Haniyeh said Sunday his militant group is ready to recognize Israel , if Israel gives the Palestinian people a state on lands occupied since the 1967 war .","['Palestinian', (23993, 23993), 'GPE']","['Palestinian', 17, 'NORP']"
"Hamas leader and Palestinian Prime Minister-designate Ismail Haniyeh said Sunday his militant group is ready to recognize Israel , if Israel gives the Palestinian people a state on lands occupied since the 1967 war .","['Israel', (24007, 24007), 'ORG']","['Israel', 122, 'GPE']"
"Hamas leader and Palestinian Prime Minister-designate Ismail Haniyeh said Sunday his militant group is ready to recognize Israel , if Israel gives the Palestinian people a state on lands occupied since the 1967 war .","['Israel', (24010, 24010), 'ORG']","['Israel', 122, 'GPE']"
"Hamas leader and Palestinian Prime Minister-designate Ismail Haniyeh said Sunday his militant group is ready to recognize Israel , if Israel gives the Palestinian people a state on lands occupied since the 1967 war .","['Palestinian', (24013, 24013), 'GPE']","['Palestinian', 17, 'NORP']"
Hundreds of people have applied to run in the election - among them highly favored two-time president Akbar Hashemi Rafsanjani .,"['Akbar Hashemi Rafsanjani', (63723, 63725), 'ORG']","['Akbar Hashemi Rafsanjani', 102, 'PERSON']"
"Campaigning has begun for Afghanistan 's first parliamentary polls since the fall of the Taleban in 2001 , amid warnings by a human rights group that female candidates need more protection .","['Afghanistan', (95922, 95922), 'LOC']","['Afghanistan', 26, 'GPE']"
"Campaigning has begun for Afghanistan 's first parliamentary polls since the fall of the Taleban in 2001 , amid warnings by a human rights group that female candidates need more protection .","['Taleban', (95932, 95932), 'ORG']","['Taleban', 89, 'NORP']"
Pakistan denied the charge .,"['Pakistan', (67748, 67748), 'LOC']","['Pakistan', 0, 'GPE']"
Air France flight attendants began the work stoppage last Thursday on the eve of French school holidays .,"['Air France', (158119, 158120), 'LOC']","['Air France', 0, 'ORG']"
Air France flight attendants began the work stoppage last Thursday on the eve of French school holidays .,"['French', (158133, 158133), 'GPE']","['French', 81, 'NORP']"
Livni reached a deal with the dovish Labor Party .,"['Labor Party', (216278, 216279), 'LOC']","['Labor Party', 37, 'ORG']"
"Tuesday 's bombing in the Spin Boldak district of Kandahar province near the Pakistani border targeted the convoy of a border police commander , who survived the attack .","['Spin Boldak', (194274, 194275), 'ORG']","['Spin Boldak', 26, 'GPE']"
"Tuesday 's bombing in the Spin Boldak district of Kandahar province near the Pakistani border targeted the convoy of a border police commander , who survived the attack .","['Kandahar', (194278, 194278), 'LOC']","['Kandahar', 50, 'GPE']"
"Tuesday 's bombing in the Spin Boldak district of Kandahar province near the Pakistani border targeted the convoy of a border police commander , who survived the attack .","['Pakistani', (194282, 194282), 'GPE']","['Pakistani', 77, 'NORP']"
Demonstrators walked silently through the streets of the capital carrying Turkish flags and banners calling for an end to terror .,"['Turkish', (92005, 92005), 'GPE']","['Turkish', 74, 'NORP']"
The U.S.-led coalition in Afghanistan says at least 25 Taleban rebels have been killed during a joint military operation with Afghan troops in the south of the country .,"['Afghanistan', (164006, 164006), 'LOC']","['Afghanistan', 26, 'GPE']"
The U.S.-led coalition in Afghanistan says at least 25 Taleban rebels have been killed during a joint military operation with Afghan troops in the south of the country .,"['Taleban', (164011, 164011), 'ORG']","['Taleban', 55, 'NORP']"
The U.S.-led coalition in Afghanistan says at least 25 Taleban rebels have been killed during a joint military operation with Afghan troops in the south of the country .,"['Afghan', (164022, 164022), 'GPE']","['Afghan', 126, 'NORP']"
The assembly was sworn in at the Baghdad Convention Center inside the heavily protected Green Zone .,"['Green Zone', (181524, 181525), 'ORG']","['Green Zone', 88, 'LOC']"
"The two leaders are also expected to discuss the nuclear crises in Iran and North Korea , and the escalating fighting in the Middle East .","['Iran', (166291, 166291), 'LOC']","['Iran', 67, 'GPE']"
"The two leaders are also expected to discuss the nuclear crises in Iran and North Korea , and the escalating fighting in the Middle East .","['North Korea', (166293, 166294), 'LOC']","['North Korea', 76, 'GPE']"
Gunmen seized him on Monday outside the news agency 's offices in Gaza City .,"['Gaza City', (199926, 199927), 'LOC']","['Gaza City', 66, 'GPE']"
"These were the latest in a series of attacks on Afghan police , who are sometimes seen as less well-trained than other security forces .","['Afghan', (205582, 205582), 'GPE']","['Afghan', 48, 'NORP']"
"Russian state energy company Gazprom has agreed to help Iran further develop its oil and natural gas fields , but most projects are currently on hold because of sanctions .","['Russian', (68019, 68019), 'GPE']","['Russian', 0, 'NORP']"
"Russian state energy company Gazprom has agreed to help Iran further develop its oil and natural gas fields , but most projects are currently on hold because of sanctions .","['Iran', (68028, 68028), 'LOC']","['Iran', 56, 'GPE']"
"The U.N. says the other agreements will allow for the return of 13,000 Sudanese refugees living in the Democratic Republic of Congo , and for the return of nearly 7,000 Congolese refugees currently in Sudan .","['Sudanese', (8034, 8034), 'GPE']","['Sudanese', 71, 'NORP']"
"The U.N. says the other agreements will allow for the return of 13,000 Sudanese refugees living in the Democratic Republic of Congo , and for the return of nearly 7,000 Congolese refugees currently in Sudan .","['Congolese', (8051, 8051), 'GPE']","['Congolese', 169, 'NORP']"
Pakistan says the kidnapped employee of its Baghdad embassy appears to have been abducted for ransom .,"['Pakistan', (89126, 89126), 'ORG']","['Pakistan', 0, 'GPE']"
Pakistan says the kidnapped employee of its Baghdad embassy appears to have been abducted for ransom .,"['Baghdad', (89133, 89133), 'LOC']","['Baghdad', 44, 'GPE']"
"Brazilian Ambassador Ronaldo Sardenberg is leading the delegation , which arrived in Port-au-Prince Wednesday for the four-day visit .","['Brazilian', (101935, 101935), 'GPE']","['Brazilian', 0, 'NORP']"
"Brazilian Ambassador Ronaldo Sardenberg is leading the delegation , which arrived in Port-au-Prince Wednesday for the four-day visit .","['Port-au-Prince', (101947, 101947), 'LOC']","['Port-au-Prince', 85, 'GPE']"
"If the housing crisis is not pressing enough , rising credit card debt is creating more hardship for many Americans .","['Americans', (58975, 58975), 'GPE']","['Americans', 106, 'NORP']"
"Anti-Japanese sentiment runs high in South Korea over territorial claims both countries make to a group of small islands controlled by South Korea , and over Tokyo 's approval of history books that critics say downplay Japan 's wartime atrocities .","['South Korea', (22656, 22657), 'LOC']","['South Korea', 37, 'GPE']"
"Anti-Japanese sentiment runs high in South Korea over territorial claims both countries make to a group of small islands controlled by South Korea , and over Tokyo 's approval of history books that critics say downplay Japan 's wartime atrocities .","['South Korea', (22672, 22673), 'LOC']","['South Korea', 37, 'GPE']"
"Anti-Japanese sentiment runs high in South Korea over territorial claims both countries make to a group of small islands controlled by South Korea , and over Tokyo 's approval of history books that critics say downplay Japan 's wartime atrocities .","['Tokyo', (22677, 22677), 'LOC']","['Tokyo', 158, 'GPE']"
"Anti-Japanese sentiment runs high in South Korea over territorial claims both countries make to a group of small islands controlled by South Korea , and over Tokyo 's approval of history books that critics say downplay Japan 's wartime atrocities .","['Japan', (22687, 22687), 'ORG']","['Japan', 219, 'GPE']"
The group aims to call attention to the humanitarian crisis in Sudan 's Darfur region .,"['Sudan', (110891, 110891), 'LOC']","['Sudan', 63, 'GPE']"
The group aims to call attention to the humanitarian crisis in Sudan 's Darfur region .,"['Darfur', (110893, 110893), 'ORG']","['Darfur', 72, 'GPE']"
The head of Iran 's nuclear agency says the Islamic Republic must be allowed to produce nuclear fuel domestically .,"['Iran', (212273, 212273), 'LOC']","['Iran', 12, 'GPE']"
The number two leader of the al-Qaida terror network has urged Muslims to oppose a referendum proposed by Palestinian President Mahmoud Abbas .,"['Palestinian', (37642, 37642), 'GPE']","['Palestinian', 106, 'NORP']"
"The group was formally banned in 1954 , but its members , running in elections as independents , hold enough seats to make the Brotherhood the largest opposition group in Egypt 's parliament .","['Brotherhood', (14931, 14931), 'LOC']","['Brotherhood', 127, 'ORG']"
"The group was formally banned in 1954 , but its members , running in elections as independents , hold enough seats to make the Brotherhood the largest opposition group in Egypt 's parliament .","['Egypt', (14937, 14937), 'LOC']","['Egypt', 171, 'GPE']"
The 58-year-old Gere was in India to participate in a safe sex campaign directed at truck drivers .,"['India', (126393, 126393), 'LOC']","['India', 28, 'GPE']"
"Swiss drugmaker Roche said it will donate another batch of Tamiflu , an anti-viral medication , to treat an additional two million people in the event of a bird flu pandemic .","['Swiss', (16277, 16277), 'GPE']","['Swiss', 0, 'NORP']"
"Swiss drugmaker Roche said it will donate another batch of Tamiflu , an anti-viral medication , to treat an additional two million people in the event of a bird flu pandemic .","['Roche', (16279, 16279), 'PERSON']","['Roche', 16, 'ORG']"
"Swiss drugmaker Roche said it will donate another batch of Tamiflu , an anti-viral medication , to treat an additional two million people in the event of a bird flu pandemic .","['Tamiflu', (16287, 16287), 'LOC']","['Tamiflu', 59, 'PRODUCT']"
"Burma has opened a three-day World Buddhist Summit , which has been marred by the pullout of its main sponsor .","['Burma', (77694, 77694), 'LOC']","['Burma', 0, 'GPE']"
"Burma has opened a three-day World Buddhist Summit , which has been marred by the pullout of its main sponsor .","['World Buddhist Summit', (77699, 77701), 'ORG']","['World Buddhist Summit', 29, 'EVENT']"
The official China Daily newspaper reports Monday that a plan has been drawn up to expand the subway network to 19 lines where it will reach all major corners of China 's capital city .,"['China Daily', (200615, 200616), 'LOC']","['China Daily', 13, 'ORG']"
The official China Daily newspaper reports Monday that a plan has been drawn up to expand the subway network to 19 lines where it will reach all major corners of China 's capital city .,"['China', (200643, 200643), 'LOC']","['China', 162, 'GPE']"
The United States has warned that relations with Suriname would suffer if Bouterse takes power .,"['Suriname', (64574, 64574), 'LOC']","['Suriname', 49, 'GPE']"
That is nearly double what Chinese leaders set as a goal for 2008 -- a rate of 4.8 percent .,"['Chinese', (66341, 66341), 'GPE']","['Chinese', 27, 'NORP']"
Air France says it plans to operate all long-haul flights from Paris and 90 percent of its short and medium-haul routes .,"['Air France', (158085, 158086), 'LOC']","['Air France', 0, 'ORG']"
Air France says it plans to operate all long-haul flights from Paris and 90 percent of its short and medium-haul routes .,"['Paris', (158096, 158096), 'LOC']","['Paris', 63, 'GPE']"
"Funerals were held Tuesday for 17 people killed by a drunken tractor driver in Yuanshi county , a rural part of China 's northern Hebei province .","['China', (188621, 188621), 'LOC']","['China', 112, 'GPE']"
"In the Democratic Party 's weekly radio address Saturday , House member Kendrick Meek of Florida said the changes would harm the middle-class , increase the deficit , and cut benefits for most workers .","['Florida', (169664, 169664), 'LOC']","['Florida', 89, 'GPE']"
"Meanwhile , South Koreans nationwide celebrated the victory of their team in their opening World Cup game against Greece .","['Greece', (195368, 195368), 'LOC']","['Greece', 114, 'GPE']"
The United States ' top law enforcement official says the recent terrorist bombings in Britain and Egypt could be the work of al-Qaida .,"['Britain', (183845, 183845), 'LOC']","['Britain', 87, 'GPE']"
The United States ' top law enforcement official says the recent terrorist bombings in Britain and Egypt could be the work of al-Qaida .,"['Egypt', (183847, 183847), 'LOC']","['Egypt', 99, 'GPE']"
